date,open,high,low,close,pct_change,volume,ln_return
2012-06-15,1329.19,1343.32,1329.19,1342.84,0.0103,4401570000,0.010284753
2012-06-14,1314.88,1333.68,1314.14,1329.1,0.0108,3687720000,0.010756615
2012-06-13,1324.02,1327.28,1310.51,1314.88,-0.007,3506510000,-0.007047993
2012-06-12,1309.4,1324.31,1306.62,1324.18,0.0117,3442920000,0.01158339
2012-06-11,1325.72,1335.52,1307.73,1308.93,-0.0126,3537530000,-0.012700439
2012-06-08,1314.99,1325.81,1307.77,1325.66,0.0081,3497190000,0.008081388
2012-06-07,1316.15,1329.05,1312.68,1314.99,-0.0001,4258140000,-0.000106459
2012-06-06,1285.61,1315.13,1285.61,1315.13,0.023,4268360000,0.022787772
2012-06-05,1277.82,1287.62,1274.16,1285.5,0.0057,3403230000,0.005710557
2012-06-04,1278.29,1282.55,1266.74,1278.18,0.0001,4011960000,0.000109537
2012-06-01,1309.87,1309.87,1277.25,1278.04,-0.0246,4669350000,-0.02495136
2012-05-31,1313.09,1319.74,1298.9,1310.33,-0.0023,4557620000,-0.002279268
2012-05-30,1331.25,1331.25,1310.94,1313.32,-0.0143,3534290000,-0.014438555
2012-05-29,1318.9,1334.93,1318.9,1332.42,0.0111,3441640000,0.011017982
2012-05-25,1320.81,1324.2,1314.23,1317.82,-0.0022,2872660000,-0.002167899
2012-05-24,1318.72,1324.14,1310.5,1320.68,0.0014,3937670000,0.001379028
2012-05-23,1316.02,1320.71,1296.53,1318.86,0.0017,4108330000,0.001692285
2012-05-22,1316.09,1328.49,1310.04,1316.63,0.0005,4123680000,0.000486208
2012-05-21,1295.73,1316.39,1295.73,1315.99,0.016,3786750000,0.015908669
2012-05-18,1305.05,1312.24,1291.98,1295.22,-0.0074,4512470000,-0.00741519
2012-05-17,1324.82,1326.36,1304.86,1304.86,-0.0151,4664280000,-0.015165749
2012-05-16,1330.78,1341.78,1324.79,1324.8,-0.0044,4280420000,-0.004413555
2012-05-15,1338.36,1344.94,1328.41,1330.66,-0.0057,4114040000,-0.005762452
2012-05-14,1351.93,1351.93,1336.61,1338.35,-0.0111,3688120000,-0.011175044
2012-05-11,1358.11,1365.66,1348.89,1353.39,-0.0034,3869070000,-0.003393109
2012-05-10,1354.58,1365.88,1354.58,1357.99,0.0025,3727990000,0.002514222
2012-05-09,1363.2,1363.73,1343.13,1354.58,-0.0067,4288540000,-0.006724817
2012-05-08,1369.16,1369.16,1347.75,1363.72,-0.0043,4261670000,-0.004287864
2012-05-07,1368.79,1373.91,1363.94,1369.58,0.0004,3559390000,0.000350534
2012-05-04,1391.51,1391.51,1367.96,1369.1,-0.0161,3975140000,-0.016279016
2012-05-03,1402.32,1403.07,1388.71,1391.57,-0.0077,4004910000,-0.007688271
2012-05-02,1405.5,1405.5,1393.92,1402.31,-0.0025,3803860000,-0.002499886
2012-05-01,1397.86,1415.32,1395.73,1405.82,0.0057,3807950000,0.005642498
2012-04-30,1403.26,1403.26,1394,1397.91,-0.0039,3574010000,-0.003891097
2012-04-27,1400.19,1406.64,1397.31,1403.36,0.0024,3645830000,0.00241141
2012-04-26,1390.64,1402.09,1387.28,1399.98,0.0067,4034700000,0.006657924
2012-04-25,1372.11,1391.37,1372.11,1390.69,0.0136,3998430000,0.013552364
2012-04-24,1366.97,1375.57,1366.82,1371.97,0.0037,3617100000,0.003672998
2012-04-23,1378.53,1378.53,1358.79,1366.94,-0.0084,3654860000,-0.008443049
2012-04-20,1376.96,1387.4,1376.96,1378.53,0.0012,3833320000,0.001168593
2012-04-19,1385.08,1390.46,1370.3,1376.92,-0.0059,4180020000,-0.005952097
2012-04-18,1390.78,1390.78,1383.29,1385.14,-0.0041,3463140000,-0.004063523
2012-04-17,1369.57,1392.76,1369.57,1390.78,0.0155,3456200000,0.015367919
2012-04-16,1370.27,1379.66,1365.38,1369.57,-0.0005,3574780000,-0.000503681
2012-04-13,1387.61,1387.61,1369.85,1370.26,-0.0125,3631160000,-0.012553513
2012-04-12,1368.77,1388.13,1368.77,1387.57,0.0138,3618280000,0.013685325
2012-04-11,1358.98,1374.71,1358.98,1368.71,0.0074,3743040000,0.007421293
2012-04-10,1382.18,1383.01,1357.38,1358.59,-0.0171,4631730000,-0.017229035
2012-04-09,1397.45,1397.45,1378.24,1382.2,-0.0114,3468980000,-0.011423434
2012-04-05,1398.79,1401.6,1392.92,1398.08,-0.0006,3303740000,-0.000629237
2012-04-04,1413.09,1413.09,1394.09,1398.96,-0.0102,3938290000,-0.010254895
2012-04-03,1418.98,1419,1404.62,1413.38,-0.004,3822090000,-0.003996588
2012-04-02,1408.47,1422.38,1404.46,1419.04,0.0075,3572010000,0.007476578
2012-03-30,1403.31,1410.89,1401.42,1408.47,0.0037,3676890000,0.003691655
2012-03-29,1405.39,1405.39,1391.56,1403.28,-0.0016,3832000000,-0.001609217
2012-03-28,1412.52,1413.65,1397.2,1405.54,-0.0049,3892800000,-0.004953773
2012-03-27,1416.55,1419.15,1411.95,1412.52,-0.0028,3513640000,-0.002820757
2012-03-26,1397.11,1416.58,1397.11,1416.51,0.0139,3576950000,0.013790283
2012-03-23,1392.78,1399.18,1386.87,1397.11,0.0031,3472950000,0.003104068
2012-03-22,1402.89,1402.89,1388.73,1392.78,-0.0072,3740590000,-0.007232645
2012-03-21,1405.52,1407.75,1400.64,1402.89,-0.0019,3573590000,-0.001872946
2012-03-20,1409.59,1409.59,1397.68,1405.52,-0.003,3695280000,-0.003005043
2012-03-19,1404.17,1414,1402.43,1409.75,0.004,3932570000,0.003966003
2012-03-16,1402.55,1405.88,1401.47,1404.17,0.0011,5163950000,0.001118724
2012-03-15,1394.17,1402.63,1392.78,1402.6,0.006,4271650000,0.005949504
2012-03-14,1395.95,1399.42,1389.97,1394.28,-0.0012,4502280000,-0.001197034
2012-03-13,1371.92,1396.13,1371.92,1395.95,0.0181,4386470000,0.017969143
2012-03-12,1370.78,1373.04,1366.69,1371.09,0.0002,3081870000,0.000160469
2012-03-09,1365.97,1374.76,1365.97,1370.87,0.0036,3639470000,0.003624702
2012-03-08,1352.65,1368.72,1352.65,1365.91,0.0098,3543060000,0.009770028
2012-03-07,1343.39,1354.85,1343.39,1352.63,0.0069,3580380000,0.006876907
2012-03-06,1363.63,1363.63,1340.03,1343.36,-0.0154,4191060000,-0.015489527
2012-03-05,1369.59,1369.59,1359.13,1364.33,-0.0039,3429480000,-0.003877165
2012-03-02,1374.09,1374.53,1366.42,1369.63,-0.0032,3283490000,-0.003251063
2012-03-01,1365.9,1376.17,1365.9,1374.09,0.0062,3919240000,0.006139221
2012-02-29,1372.2,1378.04,1363.81,1365.68,-0.0047,4482370000,-0.004748243
2012-02-28,1367.56,1373.09,1365.97,1372.18,0.0034,3579120000,0.003350649
2012-02-27,1365.2,1371.94,1354.92,1367.59,0.0014,3648890000,0.00135366
2012-02-24,1363.46,1368.92,1363.46,1365.74,0.0017,3505360000,0.00167082
2012-02-23,1357.53,1364.24,1352.28,1363.46,0.0043,3786450000,0.004262957
2012-02-22,1362.11,1362.7,1355.53,1357.66,-0.0033,3633710000,-0.003345751
2012-02-21,1361.22,1367.76,1358.11,1362.21,0.0007,3795200000,0.000719678
